#dom1	dom2
PF00653	PF00619
PF00619	PF00097
PF00917	PF00008
PF01284	PF07303
PF00538	PF00271
PF00538	PF00628
PF05743	PF00056
PF00594	PF00054
PF00594	PF00051
PF00594	PF00089
PF00053	PF01390
PF02177	PF00014
PF00092	PF05587
PF00092	PF05586
PF07646	PF00059
PF00059	PF01437
PF01344	PF00059
PF01437	PF00059
PF00754	PF00246
PF01835	PF01821
PF01823	PF00084
PF00431	PF03815
PF00594	PF02210
PF00629	PF00089
PF03160	PF00041
PF00362	PF03160
PF07965	PF03160
PF07974	PF03160
PF07502	PF00014
PF00014	PF00057
PF02191	PF00002
PF00560	PF03736
PF00194	PF00102
PF00194	PF00041
PF00050	PF00595
PF00050	PF00089
PF07648	PF00089
PF00089	PF00595
PF07648	PF00595
PF02469	PF00193
PF00093	PF00092
PF00415	PF02204
PF02825	PF00536
PF00096	PF00646
PF00041	PF00612
PF00595	PF02188
PF02185	PF00169
PF00069	PF02185
PF00433	PF02185
PF00040	PF08238
PF07546	PF00386
PF00047	PF00193
PF07686	PF00193
PF07593	PF07645
PF03815	PF00092
PF01391	PF00014
PF00039	PF00041
PF00039	PF00040
PF00040	PF00041
PF00040	PF00039
PF00041	PF00039
PF01821	PF07645
PF00086	PF00058
PF07474	PF00086
PF06119	PF00086
PF07645 PF00086
PF00431	PF01759
PF06119	PF00100
PF06119	PF01826
PF01033 PF00045
PF01471 PF00040
PF00249	PF01448
PF00320 PF01448
PF00651	PF06665
PF07528 PF00035
